1782322942 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322942 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322942 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322948 spark rtm-bench-driver                             8m     737Mi    
1782322948 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        601m   2383Mi   
1782322948 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        560m   2357Mi   
1782322948 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        570m   2352Mi   
1782322948 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        994m   2387Mi   
1782322948 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322948 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322948 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322956 spark rtm-bench-driver                             8m     737Mi    
1782322956 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        601m   2383Mi   
1782322956 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        560m   2357Mi   
1782322956 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        570m   2352Mi   
1782322956 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        994m   2387Mi   
1782322956 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322956 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322956 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322963 spark rtm-bench-driver                             12m    737Mi    
1782322963 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        594m   2383Mi   
1782322963 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        560m   2356Mi   
1782322963 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        564m   2352Mi   
1782322963 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        996m   2387Mi   
1782322963 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322963 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322963 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322970 spark rtm-bench-driver                             12m    737Mi    
1782322970 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        594m   2383Mi   
1782322970 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        560m   2356Mi   
1782322970 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        564m   2352Mi   
1782322970 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        996m   2387Mi   
1782322970 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322970 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322970 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322977 spark rtm-bench-driver                             5m      737Mi    
1782322977 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        601m    2383Mi   
1782322977 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        566m    2357Mi   
1782322977 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        574m    2352Mi   
1782322977 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        1004m   2387Mi   
1782322977 spark spark-operator-controller-86d6fc858f-tgr57   2m      16Mi     
1782322977 spark spark-operator-webhook-7fbc7884c4-2b778      2m      19Mi     
1782322977 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322985 spark rtm-bench-driver                             5m      737Mi    
1782322985 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        601m    2383Mi   
1782322985 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        566m    2357Mi   
1782322985 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        574m    2352Mi   
1782322985 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        1004m   2387Mi   
1782322985 spark spark-operator-controller-86d6fc858f-tgr57   2m      16Mi     
1782322985 spark spark-operator-webhook-7fbc7884c4-2b778      2m      19Mi     
1782322985 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322991 spark rtm-bench-driver                             109m   737Mi    
1782322991 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        598m   2382Mi   
1782322991 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        570m   2357Mi   
1782322991 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        565m   2354Mi   
1782322991 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        942m   2387Mi   
1782322991 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322991 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322991 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782323000 spark rtm-bench-driver                             109m   737Mi    
